구장명,주소
고양 쌈바 풋볼파크 야외장 왼쪽구장,경기도 고양시 덕양구 수역이길 42
FC PJ 축구센터 실내장,경기도 고양시 일산서구 덕이동 654-5
김포 손승준축구클럽 야외장,경기도 김포시 양촌읍 봉수대로1825번길 90-19
김포 손승준축구클럽 실내장,경기도 김포시 양촌읍 봉수대로1825번길 90-19
김포 프라임 야외장(석모리점),경기도 김포시 양촌읍 모산로13번길 60
김포 프라임 실내장(석모리점),경기도 김포시 양촌읍 모산로13번길 60
용인 JJCLAN 드림파크 야외장,경기도 용인시 기흥구 언동로 87
광명 한양 아레나,경기도 광명시 소하로81 아이플렉스빌딩 6층
공간 세마역점,경기도 오산시 세교동 614 5층
의정부 스카이 장,경기도 의정부시 둔야로12 4층
안산 오르카 실내장,경기도 안산시 상록구 본삼로11 빛나프라자 B1층
안산 솔레아스 실내장,경기도 안산시 단원구 광덕대로 161 6층
용인 코오버풋볼파크 야외구장,경기도 용인시 처인구 성산로121번길 21
용인 코오버풋볼파크 실내구장,경기도 용인시 처인구 성산로121번길 21
고촌 아라 실내장 B구장,경기도 김포시 고촌읍 신곡리 762-1
경기광주 성남FC광주점 실내장,경기도 광주시 쌍령동 247
남양주 유스풋볼 야외장,경기도 남양주시 호평동 33-11
남양주 유스풋볼 실내장,경기도 남양주시 호평동 33-11
고양 KPT 실내장,경기도 고양시 일산서구 미래로 184
용인 라온주니어 야외장,경기도 용인시 기흥구 지곡동 601-10
신안산파크 스페셜구장,경기도 안산시 단원구 신안산대학로 135
남양주 리우풋볼 야외장,경기도 남양주시 와부읍 고래산로45
수원 라호 실내장,경기도 수원시 장안구 장안로61-1 2층
광명 하프타임 실내장,경기도 광명시 도덕공원로 27 드림빌딩 B1층
과천 그릿 실내장 2호점,경기도 과천시 문원동 사기막1길 24
경기광주 더원 파크,경기도 광주시 초월읍 산이리 3-18
의정부 어썸 실내장,경기도 의정부시 용민로 483 보광프라자 5층
김포 유캔 장,경기도 김포시 양촌읍 양곡리 380-5
양주 TJ 파크,경기도 양주시 마전동 33-13
수원 노총스포츠파크 야외장 A구장,경기도 수원시 권선구 호매실로 46-16
수원 더베스트 야외장,경기도 수원시 팔달구 세지로182 DS빌딩 옥상층
수원 더베스트 실내장,경기도 수원시 팔달구 세지로182 DS빌딩 4층
일산 솔레아스 실내장,경기도 고양시 일산동구 약산길2 5층
의정부 도봉산 호원장 B구장,경기도 의정부시 호원동 168-11
일산 프리미어 실내장 A구장,경기도 고양시 일산서구 일산로 555 뉴타운상가 B1층
성남 반세르 트레이닝존,경기도 성남시 수정구 복정로87 지하1층
일산 JFC 실내장,경기도 고양시 일산동구 일산로 196 대길프라자 지하1층
파주 JM 풋볼파크 야외장,경기도 파주시 조리읍 대원리 257 7동
고촌 태리 실내장,경기도 김포시 고촌읍 태리로190번길 80-20 가동
용인 실내장 YFC,경기도 용인시 처인구 명지로227
남양주 DK 야외장 A구장,경기도 남양주시 오남읍 양지리 625-2 
남양주 DK 야외장 B구장 ,경기도 남양주시 오남읍 양지리 625-2 
군포 퍼스트 챔피언스파크 실내장,"경기도 군포시 산본로432번길 7, 산본동 드림센터"
군포 퍼스트 1층 블리스필드 트레이닝존,"경기도 군포시 산본로432번길 7,산본동 드림센터"
군포 퍼스트 2층 드림필드 트레이닝존,"경기도 군포시 산본로432번길 7,산본동 드림센터"
동탄 PEC 1호점 야외장 1구장,경기도 오산시 북삼미로 259-24
시흥 H풋볼 실내장,경기도 시흥시 정왕동 1728-9 3층
고양 프레이즈 삼송점 실내장,경기도 고양시 덕양구 도래울로 104 8층
고양 프레이즈 향동점 실내장,경기도 고양시 덕양구 향기로115 봄프라자 408호
시흥 드림 야외장 B구장,경기도 시흥시 금이동 56-7
시흥 풋볼아이 파크 B구장,경기도 시흥시 뒷방울길 64-11
시흥 풋볼아이 파크 C구장,경기도 시흥시 뒷방울길 64-11
시흥 풋볼아이 파크 D구장,경기도 시흥시 뒷방울길 64-11
하남 감일 키커스 (구 래빗츠) 야외장,경기도 하남시 신우실로 83 스윗컬처빌딩 5층
하남 감일 키커스 (구 래빗츠) 실내장,경기도 하남시 신우실로 83 스윗컬처빌딩 3층
안양 남강FC 실내장 옐로우구장,경기도 안양시 동안구 흥안대로137 지층
안양 남강FC 실내장 블루구장,경기도 안양시 동안구 흥안대로137 지층
동탄 제이에스 실내장,경기도 화성시 동탄순환대로788 W프라자 2층
남양주 메테오FC 실내장,경기도 남양주시 진접읍 부평로뒷들2길 6
김포 조이 실내장,경기도 김포시 대곶면 대곶남로401번길 117-53
런앤짐 스포츠클럽 실내장,경기도 남양주시 진접읍 주곡로147번길 53-6
화성블루윙즈(수원대 2호점) 실내장,경기도 화성시 융건로 96-4 2층
부천 모션FC 야외장,경기도 부천시 양지로 125 옥상층
부천 모션FC 실내장,경기도 시흥시 범안로266번길 40-10
하남 어반스타디움 초이점 야외장,경기도 하남시 초이로23 4층
안산 PLP 인도어 실내장,경기도 안산시 단원구 고잔동 709 4층
안산 PLP 야외장,경기도 안산시 단원구 고잔동 709 옥상층
부천 베네스트 실내장,경기도 부천시 오정로 45 6층
SSFC 의정부센터 실내장,경기도 의정부시 용민로74 지하1층
안산 단원 하위나이트 실내장,경기도 안산시 단원구 광덕서로44 이노프라자 B101호
상암 DMC 실내 스튜디오구장,경기도 고양시 덕양구 호원길 3-2 2층
김포 골든타임 실내장 구래마산점,경기도 김포시 김포한강4로 513 채움테라스 4층
용인 수지주니어FC 실내장,경기도 용인시 수지구 동천로448번길 31-4
동탄 수원삼성블루윙즈 실내장 B구장,경기도 화성시 동탄대로 446 동탄역그란비아스타 B1층
하남 감일 제이풋볼 야외장,경기도 하남시 감일로140 제이디주차타워 6층
솔레아스 시흥IC점 실내장 B구장,경기도 시흥시 은계중앙로 306번길36 태진지식산업센터 2층
로꼬스타디움 시흥대야역점 실내구장,경기도 시흥시 소래산길 28
수원 솔사커 실내장,경기도 수원시 장안구 파장동599 3층
남양주 다산 LS 파크 트레이닝존,경기도 남양주시 다산중앙로82번안길 166-46 파인듀파크빌딩 6층
평택 제이에스 실내장,경기도 평택시 세교동 617-8 리움스퀘어 4층
안산 원리 실내장,경기도 화성시 매송면 푸른들판로2005 원리풋살장
부천 Clear(클리어) 장 실내A구장,경기도 부천시 옥산로 255 4층
부천 Clear(클리어) 장 실내B구장,경기도 부천시 옥산로 255 4층
의왕 GOAT 실내장,경기도 의왕시 모락로106 지하2층
고양 강용파크 화이트구장,경기도 고양시 덕양구 동송로20 하나로마트삼송점 3층
고양 강용파크 블루구장,경기도 고양시 덕양구 동송로20 하나로마트삼송점 3층
고양 강용파크 그린구장(실내),경기도 고양시 덕양구 동송로20 하나로마트삼송점 3층
스토피아 스토밀라 파크(실내),경기도 성남시 수정구 동판교로308
파주 유나이티드 야외장,경기도 파주시 송학2길99 옥상층
파주 유나이티드 실내장,경기도 파주시 송학2길99 2층
양주 공차 실내장,경기도 양주시 은현면 운하로528번길44-20 C동
고양 드림하이 야외장,경기도 고양시 일산서구 덕산로196-6
화성 GSD 실내장,경기도 화성시 장지동 826 1동
화성 GSD 야외장,경기도 화성시 장지동 826 1동
평택 타이거FC 실내장,경기도 평택시 칠괴동 588-2 C동
광명 베스트 루프탑장,경기도 광명시 하안로254 옥상층
오산 탑런파크 1구장,경기도 오산시 경기대로 271 롯데마트오산점 옥상층
오산 탑런파크 2구장,경기도 오산시 경기대로 271 롯데마트오산점 옥상층
오산 탑런파크 3구장,경기도 오산시 경기대로 271 롯데마트오산점 옥상층
양주 디원풋볼 실내장,경기도 양주시 고암길36 대영빌딩 2층
스포리즈 실내장 부천점,"경기도 부천시 원미구 부흥로376, 문화빌딩 5층"
의왕 윤화평 트레이닝존,경기도 의왕시 학의로 504 의왕축구장 2층
화성 새솔 퍼스트파크,경기도 화성시 새솔동 노들길 6-33 그린마트 옥상층
수원 누누 야외장 오목천점,경기도 수원시 권선구 오목천로36-1 
경기광주 드림풋볼 실내장,경기도 광주시 절골길11번길 3
구리 히트짐 인도어장,경기도 구리시 아천동 149-18 2층
경산 백천파크 1구장,경상북도 경산시 백천길 13-14
경산 백천파크 2구장,경상북도 경산시 백천길 13-14
경산 백천파크 4구장,경상북도 경산시 백천길 13-14
BS89 풋볼클럽,부산시 연제구 반송로 89 6층
안정환 FC 장(양산점),경상남도 양산시 동면 금오로 242 5층
서산 골든타임 실내장,충청남도 서산시 예천1로 3-51 2층
대천 보령 실내장,충청남도 보령시 터미널길 18-17 2층
군산 스포츠제이 파크 B면,전라북도 군산시 개정동 30-4
전주 전북유나이티드 실내장,전라북도 전주시 덕진구 산정동 857-3 2층
전주혁신 티키타카 실내아레나,전라북도 완주군 이서면 출판로46-12 진영빌딩 2층
아곤 스포츠클럽1관 2층,인천시 서구 경서동 350-45
청라 PSG 토브 1호점 야외장,인천시 서구 경서동 949-4 청라경연타워
MIN스포츠아카데미 1관 실내장,인천시 부평구 삼산동 388-11
김해룡 축구 테크니컬센터 실내,인천시 부평구 청천동 3-2 2층
인천 AU 실내장 논현점 블랙구장,인천시 남동구 논현동 50-1 3층
아곤 실내장 청라점,인천시 서구 북항로 32번길 66 2층
인천풋볼파크 장(실내),인천시 서구 가좌동 151-37 1층
춘천 파나스 장 (퇴계온의점) 실내,강원도 춘천시 온의동 464 2층
스포잇풋볼센터(연수점) 실내장,인천시 연수구 청능대로 75 우원아이앤디 4층
인천 검단 고올인 장,인천시 서구 왕길동 128-84
청라 PSG 토브 2호점 야외장 A면,인천시 서구 청라동 153-4 청라테트리스타워 10층
청라 PSG 토브 2호점 야외장 B면,인천시 서구 청라동 153-4 청라테트리스타워 10층
부평 CHM 아레나 화이트구장,인천시 부평구 청천동 423-15 옥상
인천 GOD 스타디움 실내구장,인천시 서구 석남동 223-1
인천 현우스타디움 2구장,인천시 서구 석남동 223-192
인천 현우스타디움 3구장,인천시 서구 석남동 223-192
인천 현우스타디움 4구장,인천시 서구 석남동 223-192
강릉 GNJ 센터 실내구장,강원도 강릉시 남부로 92
검단 에피립토 장 실내1구장,인천시 서구 왕길동 64-284
검단 에피립토 장 실내2구장,인천시 서구 왕길동 64-284
서창 아이필드 센터 B구장,인천시 남동구 운연동 459-37
서창 아이필드 센터 C구장,인천시 남동구 운연동 459-37
서창 아이필드 센터 D구장,인천시 남동구 운연동 459-37
부산 기장축구센터 야외장,부산시 기장군 정관읍 산단5로 76-142
부산 기장축구센터 실내장,부산시 기장군 정관읍 산단5로 76-142
아곤 스포츠클럽 4관 A구장,인천시 서구 원창동 209-39
아곤 스포츠클럽 4관 B구장,인천시 서구 원창동 209-39
인유 실내장 인천논현점,인천시 남동구 논현동 논고개로 61 라피에스타 6층
인천 어반스타디움 구월점 야외장,인천시 남동구 인하로 485 13층
인천 더베스트 실내장,인천시 남동구 구월동 1119-3 2층
파시온FC 실내장 (동화2호점),서울시 중구 다산로 36길 101 1층
인천 아레테 트레이닝존,인천시 계양구 경명대로 1045번길 9-9 지산상가 B1층
일산 프리미어 실내장 B구장,경기도 고양시 일산서구 일산로 555 뉴타운상가 B1층
태즈풋볼 양재점 트레이닝존,서울시 서초구 바우뫼로 212 도영빌딩 B1층
대구 야외장 1구장,대구시 수성구 시지동 238
대구 야외장 2구장,대구시 수성구 시지동 238
대구 야외장 3구장,대구시 수성구 시지동 238
대구 야외장 4구장,대구시 수성구 시지동 238
대구 야외장 5구장,대구시 수성구 시지동 238
대구 야외장 6구장,대구시 수성구 시지동 238
아곤 실내장 부평점,인천시 부평구 청천동 11-39 대우빌딩 지하1층
용인 광주장 야외구장,경기도 용인시 처인구 모현읍 백옥대로2101번길 63-32
인천 고고 야외장,인천시 계양구 장제로 797 옥상층
춘천 파나스 장학점 야외장,강원도 춘천시 후평동 197-1
춘천 파나스 장학점 실내장,강원도 춘천시 후평동 197-1
세종 에셀 실내장,세종시 소담로 70 레전드타워 4층
부평 어반스타디움 실내장,인천시 부평구 주부토로 193 4층
세종 드림스타디움 야외A장,세종시 연서면 월하리 138-1 세종패션타운 제1차 1동
세종 드림스타디움 야외B장,세종시 연서면 월하리 138-1 세종패션타운 제1차 1동
파주 발롱 야외장,경기도 파주시 검산동 414-6
인천 탑런 파크 검단롯데마트점 1구장,인천시 서구 마전동 1031-1 검단롯데마트 5층
인천 탑런 파크 검단롯데마트점 3구장,인천시 서구 마전동 1031-1 검단롯데마트 5층
고양 강용파크 레드구장,경기도 고양시 덕양구 동송로20 하나로마트삼송점 3층
인천 가정 RnD 실내장,"인천시 서구 봉오재3로110번길 7 가정봄프라자501,502호"
인천 검단 ATS 실내장,인천시 서구 완정로34번길 57-21 AT스포츠센터 4층
인천 JS 플레이스,인천시 서구 거월로 7-30
인천 센트럴 실내장,인천시 서구 가정동 616-2 3층
인천 서창 JR 실내장,인천시 남동구 서창방산로55 비젼프라자 7층
인천 서창 JR 야외장,인천시 남동구 서창방산로55 비젼프라자 옥상층
인천 빌드업 파크(실내),인천시 계양구 계양대로 121 계산예술빌딩 4층
로꼬스타디움 대구점,대구시 북구 태평로 161 롯데백화점 대구점 11층
노원 아시아퍼시픽 장 A구장,서울시 노원구 월계동 820
동대문 지니파크 야외장,서울시 동대문구 왕산로68 용운빌딩 옥상층
노원 염광운동장 2구장,서울시 노원구 월계로45가길 9
도곡 로꼬스타디움 1구장,서울시 강남구 대치동 500 그랑프리엔 4층
잠실 로꼬스타디움 2구장,서울시 송파구 잠실동 40-1 R층
수원 노총스포츠파크 야외장 B구장,경기도 수원시 권선구 호매실로 46-16
시흥 장현FC 실내장,경기도 시흥시 장현능곡로1 5층
시흥 어스플레잉 야외장,경기도 시흥시 수인로 3244 5층
송종국FC 장 봉담점 야외,경기도 화성시 봉담읍 상리 690-3 토마토메디컬 옥상층
수원 피크퍼포먼스 실내장,경기도 수원시 영통구 원천동 550-3 5층
강남 중대부고 장(야외) 1구장,서울시 강남구 도곡동 산21
안양 SNFC 야외장 A면,경기도 안양시 만안구 안양로329번길 107 옥상층
강릉 GNJ 센터 야외구장,강원도 강릉시 남부로 92
용인 PEC 챔피언스파크 야외장,경기도 용인시 기흥구 기흥로 116번길231
수원 롯데몰 컬러디움 야외장,"경기도 수원시 권선구 세화로 134 5층 (서둔동,롯데백화점수원점)"
서대문 돌산구장 A면,서울시 서대문구 홍은1동 10-305
구로주니어FC 장 실내 1구장,서울시 구로구 경서로 12 대상빌딩 2층
김포 Hnation 야외장,경기도 김포시 양촌읍 학운리 299
용인 캡틴FC 실내장 블랙구장,경기도 용인시 기흥구 서천동 274-3
백두 장 A면,경기도 고양시 덕양구 원흥동 354-2
동대문 토모 파크 A면(야외),서울시 동대문구 답십리동 532-8 답십리골든타워 옥상
수원 팩토리 파크 B면,경기도 수원시 권선구 서둔동 235-2 1층
수원 팩토리 파크 A면,경기도 수원시 권선구 서둔동 235-2 1층
강남 중대부고 장(야외) 2구장,서울시 강남구 도곡동 산21
강남 중대부고 장(야외) 3구장,서울시 강남구 도곡동 산21
강남 중대부고 장(야외) 4구장,서울시 강남구 도곡동 산21
성북 서경대 파크 B구장,서울시 성북구 서경로124 은주2관 1층
도봉 장 1구장,서울시 도봉구 방학동 572
도봉 장 3구장,서울시 도봉구 방학동 572
성북 서경대 파크 C구장,서울시 성북구 서경로124 은주2관 1층
리치유소년 실내 장 1호점,서울시 구로구 구로중앙로134 b1층
압구정 스포츠몬스터 장 A면,서울시 강남구 압구정동 424
압구정 스포츠몬스터 장 B면,서울시 강남구 압구정동 424
두나미스 축구클럽(신대방점),서울시 동작구 여의대방로22길 132 B1층
강남 중대부고 장(야외) 5구장,서울시 강남구 도곡동 산21
강남 중대부고 장(야외) 6구장,서울시 강남구 도곡동 산21
광운대역 드림풋볼아카데미 실내장,서울시 노원구 월계동 410-7 지하1층
서대문 돌산구장 B면,서울시 서대문구 홍은1동 10-305
구로주니어FC 장 야외구장,서울시 구로구 경서로 12 대상빌딩 옥상층
잠실 로꼬스타디움 3구장,서울시 송파구 잠실동 40-1 R층
노원 RC 스타디움 야외 블랙구장,서울시 노원구 노원로238 4층
노원 RC 스타디움 화이트구장 트레이닝존,서울시 노원구 노원로238 4층
동작 투터치 야외장,서울시 동작구 노량진로4 대방빌딩 옥상층
노원 염광운동장 축구1구장,서울시 노원구 월계로45가길 9
노원 염광운동장 축구2구장,서울시 노원구 월계로45가길 9
노원 염광운동장 1구장,서울시 노원구 월계로45가길 9
노원 염광운동장 3구장,서울시 노원구 월계로45가길 9
노원 염광운동장 5구장,서울시 노원구 월계로45가길 9
강서염창 로꼬스타디움 야외 3구장,서울시 강서구 염창동 64-1
노원 아시아퍼시픽 장 B구장,서울시 노원구 월계동 820
강동 리더풋볼 트레이닝존,서울시 강동구 천중로214 홈마트건물 3층
골든아이 스포츠클럽 옥상장,인천시 서구 원당동 824-1 2층
HM 파크 일산점 B면,경기도 고양시 일산동구 장항동 755 홈플러스 옥상
훼밀리 스포츠클럽 파크,경기도 성남시 분당구 구미동 203-2 옥상
부천 FC드림 실내장,경기도 부천시 원미구 상동 546-4 금호프라자 601호
키즈앤짐 장(실내),경기도 하남시 신장동 259-5
송종국 FC 장 김포점 A면(실내),경기도 김포시 풍무동 788 골든프라자 8층
송종국 FC 장 김포점 B면(실외),경기도 김포시 풍무동 788 골든프라자 8층
베스트 스포츠클럽 장(야외) 부천점,경기도 부천시 소사구 범박동 44-16 보람월드프라자5층
수동시온캠핑 장(야외),경기도 남양주시 수동면 지둔리 230-1
동탄아이 유소년 장 레드구장,경기도 화성시 목동 245-3 6층
JNKFC 실내 장,경기도 시흥시 은계번영길 19 은계디스퀘어큐브 7층
그라운드동탄 장,경기도 화성시 장지남길 36
호매실 파크,경기도 수원시 권선구 칠보로 159번길26 옥상층
준타스 아레나 남양주1구장(현대아울렛 스페이스1),경기도 남양주시 다산동 6141 현대프리미엄아울렛 A동 4층
준타스 아레나 남양주2구장(현대아울렛 스페이스1),경기도 남양주시 다산동 6141 현대프리미엄아울렛 A동 4층
수지 위너스 풋볼아카데미 야외장,경기도 용인시 수지구 상현동 345-5
수지 위너스 풋볼아카데미 1층장,경기도 용인시 수지구 상현동 345-5
수지 위너스 풋볼아카데미 2층장,경기도 용인시 수지구 상현동 345-5
운정 싸커스토리 야외장,경기도 파주시 야당동 466-24
군포 팀원파크,경기도 군포시 도마교동 493-3 5층
시흥 ad축구센터 실내장,경기도 안산시 단원구 바라지길 43
화성 월클장,경기도 화성시 봉담읍 분천리 215-4
운정 싸커스토리 루프탑장,경기도 파주시 야당동 466-24
화성 케이파크 협성대점 그레이 B구장,경기도 화성시 봉담읍 상리 14 협성대학교 내 웨슬리관 옆
용인 캡틴FC 실내장 옐로우구장,경기도 용인시 기흥구 서천동 274-3
송종국FC 장 봉담점 실내,경기도 화성시 봉담읍 상리 690-3 토마토메디컬 10층
장현 P4U 실내장,경기도 시흥시 능곡번영길25 아리테브릿지 8층
운정 킥스 실내장,경기도 파주시 동패동 1761-5 봄1빌딩 2층
과천 강남스타 실내장,경기도 과천시 과천동 291-1
안양 CS 장 2구장,경기도 안양시 만안구 예술공원로52번길 2
의정부 도봉산 호원장 C구장,경기도 의정부시 호원동 168-11
용인 솔라FC 야외장,경기도 용인시 수지구 신봉1로 347번길 12 A동 옥상층
고양 지축축구클럽 실내장,경기도 고양시 덕양구 삼송로 303 2층
안양 ANT 실내장,경기도 안양시 동안구 경수대로 902 2층
판교 W풋볼클럽 실내장,경기도 성남시 분당구 운중로121 KPGA빌딩 3층
로꼬스타디움 시흥대야역점 야외구장,경기도 시흥시 소래산길 28
수원 솔사커 트레이닝존,경기도 수원시 장안구 파장동599 4층
남양주 별내 R 야외장,경기도 남양주시 별내동 865-2 옥상층
남양주 UMK 실내장,경기도 남양주시 별내동 1101 2층
경산 백천파크 3구장,경상북도 경산시 백천길 13-14
경산 퍼스트스타디움 야외장 C구장,경상북도 경산시 정평동 80-2
경산 퍼스트스타디움 야외장 D구장,경상북도 경산시 정평동 80-2
경산 퍼스트스타디움 8vs8구장,경상북도 경산시 정평동 80-2
전주혁신 메리트풋볼 실내장,전라북도 완주군 이서면 오공로 11-23 304호
부평 CHM 아레나 블랙구장,인천시 부평구 청천동 423-15 옥상
고양 PMP스타디움 축구장,경기도 고양시 덕양구 서삼릉길 281 농협대학교
아곤 장 계양점 B구장,인천시 계양구 계산동 926-27 나드리프라자 옥상
