구장명,주소
김포 프라임 실내장(마산점),경기도 김포시 김포한강8로 162번길 16  제이앤제이프라자 2층
인천 AU 실내장 논현점 화이트구장,인천시 남동구 논현동 50-1 3층
아이비리그 야외장,경기도 고양시 일산동구 식사동 716-9
토평980 파크 B면(야외),경기도 구리시 토평동 980 6층
KSU 실내 장 2구장,서울시 양천구 은행정로 4길 16 2층
일산H 클럽 야외C면,경기도 고양시 일산서구 덕산로 257-4
김포 싸커코어 장 2구장,경기도 김포시 금포로 1117-20 3층
멘토링 축구아카데미 장(실내),경기도 용인시 풍덕천동 672-1
수원시티FC 장(호매실점) 야외,경기도 화성시 매송면 천천리 35-46
검단 빅토리 축구교실 장(야외) B면,인천시 서구 대곡동 629
백두 장 B면,경기도 고양시 덕양구 원흥동 354-2
대한체대입시학원 야외장(동탄점),경기도 오산시 외삼미로 55-5
안양 아레나 야외장 1구장,경기도 의왕시 학의동 340-104
부천 마스터FC 오정점 실내장 A면,경기도 부천시 오정동 415-4 지하 1층
골든아이 스포츠클럽 실내장,인천시 서구 원당동 824-1 2층
JS아카데미 장(실내),서울시 동대문구 휘경동 42-23 js빌딩 8층
FC현 장 A면(실내),서울시 도봉구 창동 804 대우아파트상가 지하1층
강남 피엘풋볼 실내장,서울시 강남구 역삼동 725-25 B2층
용인 유림장 3구장,경기도 용인시 한터로58번길 29
용인 라온utd 야외장,경기도 용인시 수지구 신봉동 23-1 5층
MIN스포츠아카데미 2관 실내장,인천시 부평구 삼산동 168-2
코리아레포츠 장,경기도 고양시 일산서구 덕이동 1300-3
구로 스포트리 실내장,서울시 구로구 경인로403 원메디타운 a동 5층
제이원 장 장지점 B면(실외),경기도 광주시 장지동 184
아곤 스포츠클럽1관 1층,인천시 서구 경서동 350-45
청라북항 장,인천시 서구 원창동 381-76 북항프라자 옥상
미라클FC 장(야외),경기도 오산시 외삼미동 74-14
관악풋볼클럽 실내장,서울시 관악구 은천로2길 35 4층
FC봉담 장,경기도 화성시 봉담읍 동화리 245-12
프리즘 실내장 영등포점,서울시 영등포구 당산동3가 388-1 2층
아곤 장 계양점 A구장,인천시 계양구 계산동 926-27 나드리프라자 옥상
광명스포츠아카데미 장 실내C면,경기도 광명시 하안동 305-1
GS경수클럽 당수점 실외구장,경기도 수원시 권선구 당수동 232-2 4층
김형일 축구클럽 장(야외),인천시 서구 왕길동 64-418(인천시 서구 검단로 326번길 77)
KGL 체육교실 장 B면,경기도 화성시 동탄면 금곡로 211-89
HN유나이티드 장 실내구장,경기도 화성시 향남읍 구문천리 348-3
로꼬 아레나 신목동점 실내B면,서울시 양천구 목동 722-9 비바스포츠 5층
오산 블루윙즈 실내장 A구장,경기도 오산시 은계동 67-17 2층
SFC 스포츠클럽 B면,경기도 화성시 배양동 69-537
신도림 로꼬아레나(실내) 지하구장,서울시 구로구 신도림동 395-3 지하
일산 로꼬 스타디움 고양터미널점 화이트구장,경기도 고양시 일산동구 백석동 1242 5층 야외옥상
풀 굿 FC 실내 장,서울시 관악구 은천동 봉천두산아파트 208동 상가 지하
GA 실내장 1호점,서울시 관악구 봉천동 940-11
라이프 FC 실내 장,서울시 은평구 응암동 578-34 2층
JD 풋볼아카데미 장(실내) A면,서울시 송파구 가락동 164-24 지하1층
포인원 축구아카데미 장 레드구장(실내),서울시 강남구 삼성동 169-10 지하 1층 102호
포인원 축구아카데미 장 블루구장(실내),서울시 강남구 삼성동 169-10 지하 1층 102호
로꼬 파크(야외) 목동점,서울시 양천구 목동 923 세신비젼프라자 11층 옥상
로꼬 아레나 신목동점 실내A면,서울시 양천구 목동 722-9 비바스포츠 5층
플레이존 장 신사점(실내),서울시 강남구 신사동 528-8 지하1층
동대문 토모 피치 블랙구장(실내),서울시 동대문구 답십리동 산2-9 힐스포파크 2층(동대문구 답십리로 209 힐스포파크 2층)
비컴 풋볼아카데미 장(실내),서울시 성북구 보문동4가 87 문빌딩 지하 1층
FC현 장 B면(실내),서울시 도봉구 창동 804 대우아파트상가 지하1층
역삼 JMJ 실내장,서울시 강남구 역삼동 637-31 지하1층
난우주니어 장(실내),서울시 금천구 독산동 711-2 지하1층 (서울시 금천구 벚꽃로 73 금천 현대아파트 상가 지하 1층)
골든에이지 구장(실내),서울시 중랑구 망우동 470-11 지하1층
스윗스팟 장 강남점(실내),서울시 서초구 서초동 1698-7 수성수빌딩 지하1층
주사랑 FC 장 삼전점(실내),서울시 송파구 삼전동 22-2
주사랑 FC 장 석촌점(실내),서울시 송파구 석촌동 15-2
목동 AFC아라 실내장,서울시 양천구 월정로 43 지하1층
신도림 로꼬아레나(실내) 지상구장,서울시 구로구 신도림동 395-3 1층
로꼬 아레나 신목동점 (구 인도어구장) 실내C면,서울시 양천구 목동 722-9 비바스포츠 6층
유비스포츠 장 잠실점,서울시 송파구 위례성대로18 지하1층
프리즘 실내장 당산점,서울시 영등포구 영중로 139 3층
KTC 실내클럽(개봉점),서울시 구로구 고척로19길 41 B1층
키커 스타디움 (실내),서울시 송파구 가락동 196-16 B1층
파시온FC 실내장(약수점),서울시 중구 다산로 22길 14 B1층
도봉 장 2구장,서울시 도봉구 방학동 572
KSU 실내 장 1구장,서울시 양천구 은행정로 4길 16 2층
목동 해바스포츠 야외장,서울시 양천구 목동서로 355 5층(강림교회)
태풍센터,서울시 노원구 중계로 6길 18
강남 스타 장 A면,서울시 서초구 매헌로 16 7층
