,구장명,주소,시,구,냉난방,5vs5,7vs7,6vs6,팀조끼,4vs4,트레이닝 존,공대여,3vs3,8vs8,냉방,풋살화,11vs11,9vs9,샤워실,주차
134,비컴 풋볼아카데미 풋살장(실내),서울시 성북구 보문동4가 87 문빌딩 지하 1층,서울시,성북구,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
135,FC현 풋살장 B면(실내),서울시 도봉구 창동 804 대우아파트상가 지하1층,서울시,도봉구,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
136,역삼 JMJ 실내풋살장,서울시 강남구 역삼동 637-31 지하1층,서울시,강남구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
137,난우주니어 풋살장(실내),서울시 금천구 독산동 711-2 지하1층 (서울시 금천구 벚꽃로 73 금천 현대아파트 상가 지하 1층),서울시,금천구,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1
138,골든에이지 풋살구장(실내),서울시 중랑구 망우동 470-11 지하1층,서울시,중랑구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
139,스윗스팟 풋살장 강남점(실내),서울시 서초구 서초동 1698-7 수성수빌딩 지하1층,서울시,서초구,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
140,주사랑 FC 풋살장 삼전점(실내),서울시 송파구 삼전동 22-2,서울시,송파구,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
141,주사랑 FC 풋살장 석촌점(실내),서울시 송파구 석촌동 15-2,서울시,송파구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
142,목동 AFC아라 실내풋살장,서울시 양천구 월정로 43 지하1층,서울시,양천구,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1
143,신도림 로꼬풋살아레나(실내) 지상구장,서울시 구로구 신도림동 395-3 1층,서울시,구로구,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1
144,로꼬 풋살아레나 신목동점 (구 인도어구장) 실내C면,서울시 양천구 목동 722-9 비바스포츠 6층,서울시,양천구,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1
145,유비스포츠 풋살장 잠실점,서울시 송파구 위례성대로18 지하1층,서울시,송파구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
146,프리즘 실내풋살장 당산점,서울시 영등포구 영중로 139 3층,서울시,영등포구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
147,KTC 실내풋살클럽(개봉점),서울시 구로구 고척로19길 41 B1층,서울시,구로구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
148,키커 풋살스타디움 (실내),서울시 송파구 가락동 196-16 B1층,서울시,송파구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
149,파시온FC 실내풋살장(약수점),서울시 중구 다산로 22길 14 B1층,서울시,중구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
150,도봉 풋살장 2구장,서울시 도봉구 방학동 572,서울시,도봉구,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1
151,KSU 실내 풋살장 1구장,서울시 양천구 은행정로 4길 16 2층,서울시,양천구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
152,목동 해바스포츠 야외풋살장,서울시 양천구 목동서로 355 5층(강림교회),서울시,양천구,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
153,태풍풋살센터,서울시 노원구 중계로 6길 18,서울시,노원구,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0
154,강남 스타 풋살장 A면,서울시 서초구 매헌로 16 7층,서울시,서초구,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1
155,강남 스타 풋살장 B면,서울시 서초구 매헌로 16 7층,서울시,서초구,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1
156,FC플레이어 실내풋살장(도곡점) A면,서울시 강남구 논현로 152 2층,서울시,강남구,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
157,FC플레이어 실내풋살장(도곡점) B면,서울시 강남구 논현로 152 2층,서울시,강남구,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
158,짐앤아이 풋살장(노원점) 실내,서울시 노원구 공릉동 408-6 4층,서울시,노원구,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1
159,한국풋살파크 (목동점),서울시 양천구 목동 807-1 옥상,서울시,양천구,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
160,JP연세 실내풋살장,서울시 강서구 수명로 80 지하1층,서울시,강서구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
161,관악 피닉스 실내풋살장,서울시 관악구 난향길 5 2층,서울시,관악구,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1
162,동대문 토모 풋살파크 B면(야외),서울시 동대문구 답십리동 532-8 답십리골든타워 옥상,서울시,동대문구,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
163,티키타카 실내풋살장 A면,서울시 성북구 정릉동 산16-46 서경대학교 수인관,서울시,성북구,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
164,티키타카 실내풋살장 B면,서울시 성북구 정릉동 산16-46 서경대학교 수인관,서울시,성북구,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
165,티키타카 실내풋살장 C면,서울시 성북구 정릉동 산16-46 서경대학교 수인관,서울시,성북구,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1
166,월계 SMC 풋살PARK 실내구장,서울시 노원구 월계동 322-1 성원아파트상가 지하1층,서울시,노원구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
167,구로주니어FC 풋살장 실내 2구장,서울시 구로구 경서로 12 대상빌딩 2층,서울시,구로구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
168,당산 업핏풋볼그라운드 루프탑풋살장,서울시 영등포구 당산로 241 유니언타운 루프탑,서울시,영등포구,0,0,0,0,1,1,0,1,1,0,0,1,0,0,1,0
169,리치유소년 실내풋살장 2호점 A구장,서울시 구로구 구로중앙로 134 구로자이 나인스에비뉴 B1층,서울시,구로구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
170,리치유소년 실내풋살장 2호점 B구장,서울시 구로구 구로중앙로 134 구로자이 나인스에비뉴 B1층,서울시,구로구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
171,잠실 로꼬풋살스타디움 1구장,서울시 송파구 잠실동 40-1 R층,서울시,송파구,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
172,목동 빅토리스포츠 풋살클럽,서울시 양천구 신목로5길 13 B1층,서울시,양천구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
173,동작 원스포츠 실내풋살장,서울시 동작구 상도로15길 98 지하1층,서울시,동작구,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
174,영등포 하이어스 실내풋살장,서울시 영등포구 양평동 2가 37-2 양평빌딩 206호,서울시,영등포구,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1
175,관악 원스포츠 실내풋살장,서울시 관악구 관악로30길 27 푸르지오상가 1층 111호,서울시,관악구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
176,동대문 토모 풋살피치 블루구장(실내),서울시 동대문구 답십리로 209 2층,서울시,동대문구,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1
177,자양 WIN FC 1호점(실내),서울시 광진구 자양번영로 69 2층,서울시,광진구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
178,강남 D&K 트레이닝존 A구장,서울시 강남구 대치동 911-7,서울시,강남구,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
179,마포키즈아레나 1호점 트레이닝존,서울시 마포구 용강동 토정로31길 24,서울시,마포구,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
180,마포키즈아레나 2호점 실내풋살장,서울시 마포구 도화동 51-1 성우빌딩 지하1층,서울시,마포구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
181,마포키즈아레나 2호점 트레이닝존,서울시 마포구 도화동 51-1 성우빌딩 지하1층,서울시,마포구,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
182,동대문 토모 풋살피치 그린구장(실내),서울시 동대문구 답십리로 209 2층,서울시,동대문구,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1
183,태즈풋볼 역삼자이점 실내풋살장,서울시 강남구 역삼동 711-6 역삼자이상가 5층,서울시,강남구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
184,태즈풋볼 도곡점 실내풋살장,서울시 강남구 역삼동 779-3 광진빌딩 2층,서울시,강남구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0
185,노원 팀일레븐 트레이닝존 A구장,서울시 노원구 공릉로 227 지층,서울시,노원구,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
186,노원 팀일레븐 트레이닝존 B구장,서울시 노원구 공릉로 227 지층,서울시,노원구,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
187,노원 팀일레븐 트레이닝존 A+B구장,서울시 노원구 공릉로 227 지층,서울시,노원구,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1
188,노원 송구칠 실내풋살장,서울시 노원구 상계로 27길12 지하1층,서울시,노원구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
189,노원 송구칠 트레이닝존,서울시 노원구 상계로 27길12 지하1층,서울시,노원구,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1
190, KSU 야외풋살장,서울시 강서구 등촌로75 욱장빌딩 8층,서울시,강서구,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
191,KSU 트레이닝존 A구장,서울시 양천구 등촌로 100 지하1층,서울시,양천구,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
192,KSU 트레이닝존 B구장,서울시 양천구 등촌로 100 지하1층,서울시,양천구,1,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
193,도곡 로꼬풋살스타디움 2구장,서울시 강남구 대치동 500 그랑프리엔 4층,서울시,강남구,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1
194,도곡 로꼬풋살스타디움 3구장,서울시 강남구 대치동 500 그랑프리엔 4층,서울시,강남구,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
195,목동 팀워크 실내풋살파크,서울시 양천구 국회대로 283 2층,서울시,양천구,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
196,관악축구클럽 실내풋살장,서울시 관악구 신림동 561-4 지하1층,서울시,관악구,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1
197,강서풋볼아카데미 실내풋살장,서울시 강서구 등촌동 683 B1층,서울시,강서구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
198,동대문 지니풋살파크 트레이닝존,서울시 동대문구 왕산로68 용운빌딩 옥상층,서울시,동대문구,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1
199,중계건영 SMC 풋살PARK 실내구장,서울시 노원구 섬밭로 258 건영백화점 4층,서울시,노원구,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1
200,송파 풋볼투게더 실내풋살장,서울시 송파구 동남로6길 6 지하1층,서울시,송파구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1
201,강서염창 로꼬풋살스타디움 실내 2구장,서울시 강서구 염창동 64-1,서울시,강서구,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
202,광진 더베이스캠프 실내풋살장,서울시 광진구 아차산로292 모아빌딩 B1층,서울시,광진구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
203,서초 샤프풋볼 실내풋살장,서울시 서초구 서초대로335 서흥빌딩 B1층,서울시,서초구,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1
204,노원 아시아퍼시픽 풋살장 C구장,서울시 노원구 월계동 820,서울시,노원구,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
205,노원 아시아퍼시픽 풋살장 D구장,서울시 노원구 월계동 820,서울시,노원구,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
206,신길 아웃풋 실내풋살장,서울시 영등포구 영등포로364 대하빌딩 지하1층,서울시,영등포구,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1
207,사당 풋볼 실내풋살장,서울시 관악구 남부순환로2030 B1층,서울시,관악구,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
